customer_no,tot_high_credit_amt,tot_cur_balance_amt,total_amt_past_due,tot_creditlimit,tot_cashlimit
1,7900063.0,4714857,2538209.0,670000.0,168000.0
2,1117595.0,30754,0.0,1000000.0,1.0
3,121523.0,17864,0.0,0.0,0.0
4,12304664.0,1845569,0.0,956000.0,361000.0
5,12817505.0,7973,0.0,0.0,0.0
6,86498033.0,23795581,1103.0,2172500.0,540001.0
7,209659.0,51154,0.0,226000.0,115900.0
8,20506824.0,14029079,0.0,573000.0,249000.0
9,20144313.0,14126636,0.0,618000.0,101001.0
10,8287800.0,247719,0.0,405000.0,243000.0
11,7311002.0,868125,0.0,2506500.0,836093.0
12,11101063.0,7482489,0.0,450000.0,1.0
13,3990373.0,270994,0.0,791000.0,45001.0
14,152478.0,39905,100.0,281000.0,38400.0
15,600000.0,219411,0.0,0.0,0.0
16,66581243.0,28015351,0.0,599500.0,312350.0
17,755093.0,136659,1556.0,150000.0,54000.0
18,15950698.0,6098717,0.0,0.0,1.0
19,2087476.0,209161,0.0,362000.0,192400.0
20,2825284.0,1751643,0.0,225000.0,90000.0
21,659306.0,96504,0.0,1330000.0,103000.0
22,1158222.0,-1,0.0,0.0,0.0
23,37823191.0,27752670,0.0,0.0,0.0
24,2205367.0,355757,3720.0,10000.0,1.0
25,8111567.0,871427,0.0,1443000.0,277200.0
26,179475.0,-7019,0.0,148000.0,79000.0
27,406168.0,115207,0.0,450000.0,311851.0
28,6092726.0,3534962,0.0,634000.0,93500.0
29,411463.0,316262,185470.0,550000.0,170000.0
30,15402.0,0,0.0,0.0,0.0
31,3031771.0,705451,0.0,120000.0,48000.0
32,111078.0,40636,0.0,167000.0,51600.0
33,1761608.0,-9912,9.0,1268000.0,441444.0
34,3104869.0,819200,0.0,1050000.0,300000.0
35,82129710.0,27171632,0.0,157000.0,62801.0
36,379994.0,32996,0.0,487000.0,292600.0
37,6284975.0,2568019,0.0,0.0,0.0
38,26813171.0,4419935,0.0,0.0,0.0
39,6166007.0,1066121,0.0,225000.0,72000.0
40,171936.0,4896,0.0,281200.0,7500.0
41,13189658.0,6170697,0.0,750000.0,111000.0
42,17613221.0,9694161,2195155.0,200000.0,60000.0
43,105346005.0,24078116,0.0,480000.0,0.0
44,50861216.0,1622683,11575.0,850000.0,7001.0
45,34606021.0,3018668,0.0,432000.0,130800.0
46,26167.0,0,0.0,0.0,0.0
47,87843.0,2,0.0,73000.0,7300.0
48,19904066.0,8828370,0.0,2364000.0,528600.0
49,1856075.0,1008458,0.0,145000.0,9500.0
50,28325849.0,5803105,0.0,0.0,0.0
51,82508318.0,60699235,0.0,1009000.0,77300.0
52,344323.0,16715,0.0,613000.0,368000.0
53,14378885.0,9652501,9003.0,111000.0,42200.0
54,435011.0,295560,0.0,110000.0,12000.0
55,180085.0,11638,0.0,260000.0,0.0
56,510840.0,225760,0.0,40000.0,8000.0
57,17251794.0,7540221,4244.0,532000.0,93200.0
58,437970.0,89066,0.0,388000.0,80200.0
59,27414862.0,7249550,0.0,1162000.0,342800.0
60,182153740.0,56162941,0.0,70000.0,22000.0
61,64066.0,39916,0.0,175000.0,17500.0
62,7641340.0,4355610,0.0,640000.0,288693.0
63,106875.0,9783,0.0,188000.0,52800.0
64,4889001.0,2471675,8040.0,1969000.0,273954.0
65,1717091.0,484853,0.0,305000.0,31000.0
66,157690.0,75856,0.0,102200.0,1526.0
67,1614533.0,925788,0.0,35000.0,0.0
68,1655530.0,505557,0.0,574000.0,82901.0
69,14520065.0,2575492,0.0,0.0,10000.0
70,4808606.0,11881,0.0,988000.0,334900.0
71,15146852.0,5977212,81634.0,277000.0,12100.0
72,19205600.0,4002226,0.0,199000.0,95000.0
73,7576225.0,4467470,0.0,406000.0,160400.0
74,3132058.0,130930,0.0,635000.0,104000.0
75,1659780.0,1187461,0.0,67000.0,22000.0
76,8601515.0,810602,31445.0,265000.0,31000.0
77,9305340.0,2142773,0.0,989375.0,317601.0
78,1168702.0,416740,0.0,0.0,0.0
79,7166727.0,1168484,0.0,408000.0,4100.0
80,12020211.0,-3434,3510.0,314000.0,128000.0
81,672855.0,67498,0.0,407001.0,123000.0
82,10852420.0,9905347,0.0,0.0,0.0
83,2630987.0,990775,0.0,468000.0,167001.0
84,12269945.0,292803,0.0,4575000.0,357500.0
85,34400764.0,14474112,0.0,0.0,0.0
