customer_no,total_enq_amt_x,total_enq_amt_y
1,4981150,18
2,6676682006,68
3,3400000,1
4,50810000,34
5,2000,2
6,135624001,27
7,50000,1
8,179300200,17
9,174430000,19
10,114492667,21
11,290222031,25
12,891889962,26
13,50610602,22
14,516151,22
15,1500000,6
16,327928915,44
17,5982021000,35
18,7950990,9
19,154300,10
20,740803000,30
21,395551000,9
22,0,0
23,1558545000,21
24,4745000,13
25,124000,6
26,2000,2
27,4600000,3
28,18299000,22
29,11077000,9
30,875000,3
31,15196100,11
32,121000,5
33,5000000,5
34,12500000,10
35,116626000,11
36,30151000,7
37,72025000,9
38,30010000,2
39,14372001,10
40,276000,5
41,1150200,6
42,117300000,5
43,573050013,111
44,544471773,25
45,151289300,17
46,44580000,12
47,101000,3
48,96311029,117
49,1989100,14
50,3288278003,37
51,293483609,97
52,22451000,8
53,1243317450,45
54,1091250,21
55,116000,4
56,262001,9
57,40523573,28
58,150000,3
59,1542039501,17
60,1902215004,65
61,165000,3
62,11362000,7
63,60100,3
64,3715100,20
65,6836382111,93
66,586300000,8
67,5029143,18
68,5383100,25
69,50060000,5
70,3672000,20
71,64722681,28
72,54591001,22
73,14276150,12
74,5151000,14
75,50000,1
76,102325985,33
77,25750100,7
78,1462000,5
79,5293500,9
80,180534001,17
81,52190000,8
82,62042637,12
83,6242000,5
84,19280000,6
85,84550000,15
86,6565692,16
87,195640006,44
88,174617600,36
89,26942000,54
90,586101000,31
91,428815101,28
92,3102000,7
93,91000,5
94,2400000,2
95,623700,13
96,756297,18
97,1748000,21
98,1585990,18
99,2012000,16
100,2467003,19
101,111000,4
102,321000,6
103,9214000,22
104,696604,5
105,2701000,16
106,235200,10
107,277000,6
108,2292100,21
109,52000,3
110,41292600,45
111,555200,13
112,2783780,34
113,776002,17
114,3004841,28
115,1533120,21
116,296000,8
117,1573500,16
118,8799501,72
119,15390500,10
120,1562000,11
121,98000,5
122,201198500,19
123,210000,7
124,76000,4
125,76543299,41
126,2415174,32
127,2224001,15
128,538500,7
129,101000,3
130,823000,18
131,149000,6
132,876000,10
133,100000,2
134,7824990,33
135,3212100,42
136,105080200,36
137,4000,4
138,371000,8
139,932001,15
140,305224168,45
141,7774000,9
142,3085000,11
143,1764000,16
144,10442100,18
145,593532,15
146,313002,8
147,2823000,13
148,698500,9
149,11251000,6
